openneuro_id,openneuro_url,publication_url,first author,name,n_subjects,Adults / Children,Task or Rest,DC comments,fmriprep,mriqc
ds002685,https://openneuro.org/datasets/ds002685,https://www.nature.com/articles/s41597-024-03390-1,Pinho,Individual Brain Charting (IBC) - 3rd release,13,adults,Task & Rest,,,
ds004636,https://openneuro.org/datasets/ds004636,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10557703/,Bisset,"Cognitive tasks, anatomical MRI, and functional MRI data evaluating the construct of self-regulation",110,adults,,,,
ds005256,https://openneuro.org/datasets/ds005256,https://www.biorxiv.org/content/10.1101/2024.06.21.599974v1,Jung,Spacetop - multimodal fMRI dataset unifying naturalistic processes with a rich array of experimental tasks,118,adults,,,,
ds004169,https://openneuro.org/datasets/ds004169,https://onlinelibrary.wiley.com/doi/full/10.1002/hbm.26717,Strike,Queensland Twin IMaging (QTIM),1202,adults,Task & Rest,,,
ds003097,https://openneuro.org/datasets/ds003097,https://www.nature.com/articles/s41597-021-00870-6,Snoek,AOMIC-ID1000,928,adults,Task,,,
ds004146,https://openneuro.org/datasets/ds004146,https://www.nature.com/articles/s41597-023-02038-w,Strike,Queensland Twin Adolescent Brain (QTAB),417,adolescent,Task & Rest,,,
ds004746,https://openneuro.org/datasets/ds004746,https://www.nature.com/articles/s41467-024-50103-8,Botvinik-Nezer,Paingen_placebo,395,adults,Task,,,
ds005165,https://openneuro.org/datasets/ds005165,https://www.nature.com/articles/s41467-024-50310-3,Lahner,Modeling short visual events through the BOLD Moments video fMRI dataset and metadata.,10,adults,Task & Rest,,,
ds002345,https://openneuro.org/datasets/ds002345,https://www.nature.com/articles/s41597-021-01033-3,Nastase,Narratives,345,adults,Task,,,
ds003604,https://openneuro.org/datasets/ds003604,https://www.nature.com/articles/s41597-021-01106-3,Wang,"A longitudinal neuroimaging dataset on language processing in children ages 5, 7, and 9 years old",322,children,Task,,,
ds000221,https://openneuro.org/datasets/ds000221,https://www.nature.com/articles/sdata2018308,Babayan,MPI-Leipzig_Mind-Brain-Body,318,adults,Rest,,,
ds003592,https://openneuro.org/datasets/ds003592,https://www.nature.com/articles/s41597-022-01231-7,Spreng,"Neurocognitive aging data release with behavioral, structural, and multi-echo functional MRI measures",301,adults,Rest,,,
ds006623,https://openneuro.org/datasets/ds006623,https://www.nature.com/articles/s41597-025-06442-2,Huang,Michigan Human Anesthesia fMRI Dataset-1,26,adults,Task & Rest,,,
ds000030,https://openneuro.org/datasets/ds000030,https://www.nature.com/articles/sdata2016110,Poldrack,UCLA Consortium for Neuropsychiatric Phenomics LA5c Study,272,adults,Task & Rest,,,
ds004078,https://openneuro.org/datasets/ds004078,https://www.nature.com/articles/s41597-022-01708-5,Wang,A synchronized multimodal neuroimaging dataset to study brain language processing,12,adults,Task & Rest,,,
ds005896,https://openneuro.org/datasets/ds005896,https://www.icpsr.umich.edu/web/NAHDAP/studies/39045/versions/V1,Way,"Structural and functional MRI dataset from the Adolescent Health and Development in Context (AHDC) study in Columbus, Ohio",262,adults,Task & Rest,,,
ds005752,https://openneuro.org/datasets/ds005752,https://www.nature.com/articles/s41597-022-01623-9,Nugent,The NIMH Healthy Research Volunteer Dataset,251,adults,Task & Rest,,,
ds005237,https://openneuro.org/datasets/ds005237,https://www.nature.com/articles/s41597-025-04895-z,Chopra,Transdiagnostic Connectome Project,241,adults,Task & Rest,,,
ds005747,https://openneuro.org/datasets/ds005747,https://www.nature.com/articles/s41593-025-02087-x,Zhang,7T fMRI Resting-state Dataset,90,adults,Rest,,,
ds004884,https://openneuro.org/datasets/ds004884,https://www.nature.com/articles/s41597-024-03819-7,Gibson,Aphasia Recovery Cohort (ARC) Dataset,230,adults,Task & Rest,,,
ds002790,https://openneuro.org/datasets/ds002790,https://www.nature.com/articles/s41597-021-00870-6,Snoek,AOMIC-PIOP2,226,adults,Task & Rest,,,
ds002785,https://openneuro.org/datasets/ds002785,https://www.nature.com/articles/s41597-021-00870-6,Snoek,AOMIC-PIOP1,216,adults,Task & Rest,,,
ds001894,https://openneuro.org/datasets/ds001894,https://www.nature.com/articles/s41597-019-0338-5,Lytle,Longitudinal Brain Correlates of Multisensory Lexical Processing in Children,188,children,Task,,,
